"Lon";"Lat"
-2,24666;56,95616
-0,79936;60,74445
-2,2;43,31
4,70252;61,09465
-2,88527;56,14459
-1,36009;60,6374
-6,21482;58,36793
3,29;39,43
-9,875;30,875
0,92;40,95
-3,02398;57,6849
-2,28942;57,69679
-2,40912;56,77605
-7,05024;56,51906
3,93;51,529
7,21722;57,97971
13,71;45,61
-5,83196;59,12624
0,24;40,21
-8,94;37,18
-5,34364;56,64196
-2,24548;56,77647
5,44478;60,21298
3,06;41,78
5,52243;59,88604
-5,29734;50,25754
-0,93473;50,8391
-2,77974;58,84049
-3,68;43,49
-9,17;39,52
-7,338;37,184
-4,900424;54,000973
-4,515071;52,660989
-1,437026;50,528414
-8,853889;41,697222
24,32196528;40,82324722
24,41184167;40,92656667
24,14333056;40,73833056
23,1;39,50194444
23,91916667;39,96222222
23,77083333;40,23027778
23,68611111;39,95472222
23,73361111;40,06833333
13,63333333;45,05
13,563751;45,529483
-8,577012;51,521818
-6,173589;53,935541
-8,624797;54,935997
-4,696056;53,196527
0,551431;50,771651
-10,20466;52,401392
-10,463372;51,767056
-10,161041;51,503333
-5,175692;51,565843
-0,019237;50,692805
-6,00857;52,79338
-8,708333333;41,04166667
-8,717222222;41,225
-6,81234;57,268321
-4,352897;52,394566
-3,534651;54,20595
-2,849443;50,616604
-4,362508;52,574213
-7,719329;56,690117
3,5728;39,7341
2,7232;39,4726
17,02000046;38,90000153
8,851667;41,691667
5,198;60,243
-2,3047;47,0266
-16,332;28,576
5,421;43,2094
14,598083;44,953137
8,72451;42,5802
-2,085;48,637
3,606821;43,42127
-4,5143;48,33095
-3,5949;48,7213
-2,93672;47,5695
-1,9466;49,716835
-4,519882;48,635665
-1,583619;48,826435
23,702068;40,326117
23,981701;40,098041
25,710408;40,849179
8,22795;40,9327
-6,042276;35,464699
-5,384638;35,911628
-8,1935;37,0886
-8,44763;43,37838
3,79555;40,008
-5,6247;43,55162
-8,55764;43,31143
-9,16768;43,1045
-9,14245;42,89293
-8,890269;42,568538
-14,376326;28,051688
-15,384683;27,866084
-16,535958;28,04356
-16,919463;28,342603
-16,673028;28,401381
-13,563506;29,11924
-13,542283;29,220351
-16,940091;32,633966
-16,829643;32,641521
-17,171794;32,868931
-16,3145;33,0574
28,04838;36,07483
28,20534;36,32049
8,646948;42,302318
6,859487;43,413245
16,446545;43,498426
7,119821;43,5515
10,269515;43,679116
3,923979;51,627042
-3,125;59,2916666666667
30,2083333333333;36,2916666666667
-15,625;27,7083333333333
9,29166666666667;42,9583333333333
