"Population_id";"Strain_id";"Temperature_C";"F0";"Fm";"Corrected_Fm";"FvFm"
"Goes";"Goes_29";28;0,0623;0,177;0,199769849;0,688141127
"Goes";"Goes_13";28;0;0;0;0
"Goes";"Goes_11";28;0,074;0,2098;0,236789347;0,68748594
"Goes";"Goes_28";28;0;0;0;0
"Goes";"Goes_19";28;0,076;0,2328;0,262748141;0,710749618
"Goes";"Goes_6";28;0,0686;0,1578;0,178099899;0,614822916
"Goes";"Goes_8";28;0;0;0;0
"Goes";"Goes_2";28;0,0779;0,1696;0,189814949;0,589600291
"Goes";"Goes_5";28;0,0299;0,0711;0,079574545;0,624251702
"Goes";"Goes_10";28;0,1074;0,2333;0,261107475;0,588675123
"Goes";"Goes_22";28;0,0907;0,2015;0,225517172;0,597813331
"Goes";"Goes_26";28;0,1098;0,2397;0,268270303;0,590711313
"Goes";"Goes_12";28;0;0;0;0
"Goes";"Goes_23";28;0;0;0;0
"Goes";"Goes_30";28;0,051;0,1451;0,162394747;0,685950434
"Goes";"Goes_31";28;0,05905;0,15465;0,17308303;0,658834261
"Goes";"Goes_17";28;0,0917;0,2245;0,251258586;0,635037347
